,0,1
0,"[INST]A car is being driven , in a straight line and at a uniform speed , towards the base of a vertical tower . The top of the tower is observed from the car and , in the process , it takes 10 minutes for the angle of elevation to change from 45 ° to 60 ° . After how much more time will this car reach the base of the tower ?
Answer Choices:
A) 5 ( √ 3 + 1)
B) 6 ( √ 3 + √ 2)
C) 7 ( √ 3 – 1)
D) 8 ( √ 3 – 2)
E) None of these[/INST]  To solve this problem, we need to use the concept of similar triangles.
The angle of elevation of the tower is increasing from 45° to 60°, which means that the angle between the line of sight and the base of the tower is also increasing. Since the car is moving in a straight line, the angle between the line of sight and the base of the tower is constant.
Let's call the distance from the base of the tower to the point where the angle of elevation changes from 45° to 60° as x.
Using the concept of similar triangles, we can draw a triangle with the base as the distance from the base of the tower to the point where the angle of elevation changes, and the height as the distance from the point where the angle of elevation changes to the top of the tower.
The height of the tower is given as √3 times the distance from the base to the point where the angle of elevation changes. So, the height of the tower is:
H = √3x

The time taken for the angle of elevation to change from 45° to 60° is 10 minutes. Since the car is moving at a uniform speed, the distance traveled by the car during this time is also constant. Let's call this distance as y.
We can now use the concept of similar triangles to find the time taken for the car to reach the base of the tower.
The distance traveled by the car is equal to the height of the tower times the cosine of the angle of elevation:
y = H \* cos(60° - 45°)
= H \* cos(15°)
= H \* 0.5
= √3x \* 0.5
= x/2

Therefore, the car will reach the base of the tower in 2x/2 = x minutes.
So, the answer is (E) None of these.",A
1,"[INST]The original price of an item is discounted 22 % . A customer buys the item at this discounted price using a $ 20 - off coupon . There is no tax on the item , and this was the only item the customer bought . If the customer paid $ 1.90 more than half the original price of the item , what was the original price of the item ?
Answer Choices:
A) $ 61
B) $ 65
C) $ 67.40
D) $ 70
E) $ 78.20[/INST]  To solve this problem, we need to use the information given in the question to find the original price of the item.
The original price of the item was discounted by 22%, which means it was sold for $0.7820 \* 0.72 = $0.5744 less than the original price.
The customer used a $20-off coupon, which means they paid $0.5744 - $20 = $0.4744 for the item.
Since there is no tax on the item, the customer paid a total of $0.4744.
The question asks for the amount that is more than half the original price of the item. Since the original price was $0.5744, the amount that is more than half is $0.5744 / 2 = $0.2870.
So, the original price of the item was $0.5744.
Therefore, the answer is (A) $61.",E
2,"[INST]Find out which of the following values is the multiple of X , if it is divisible by 9 and 12 ?
Answer Choices:
A) 36
B) 15
C) 17
D) 5
E) 7[/INST]  To find the value of X that is divisible by both 9 and 12, we can use the fact that if a number is divisible by 9, it is also divisible by 12.
So, we can cross off options B and C, since 15 and 17 are not divisible by 9.
Now, let's check the remaining options:
A) 36 is divisible by 9 and 12, so it is the correct answer.
Therefore, the value of X that is divisible by both 9 and 12 is:
A) 36",A
3,"[INST]If the probability that Stock A will increase in value during the next month is 0.56 , and the probability that Stock B will increase in value during the next month is 0.74 . What is the greatest value for the probability that neither of these two events will occur ?
Answer Choices:
A) 0.22
B) 0.26
C) 0.37
D) 0.46
E) 0.63[/INST]  To find the greatest value for the probability that neither of the two events will occur, we need to calculate the probability of the complement of each event and then find the maximum of these probabilities.
The probability of Stock A increasing in value during the next month is 0.56, and the probability of Stock B increasing in value during the next month is 0.74.
The complement of Stock A increasing in value during the next month is:
Complement of Stock A = 1 - 0.56 = 0.44
The complement of Stock B increasing in value during the next month is:
Complement of Stock B = 1 - 0.74 = 0.26
Now, we need to find the maximum of these two probabilities:
Maximum = 0.44 (Complement of Stock A) or 0.26 (Complement of Stock B)
Therefore, the greatest value for the probability that neither of these two events will occur is:
E) 0.63
So, the answer is (E) 0.63.",B
4,"[INST]A trader sold an article at a profit of 20 % for Rs . 360 . What is the cost price of the article ?
Answer Choices:
A) 270
B) 300
C) 280
D) 320
E) 315[/INST]  To find the cost price of the article, we can use the formula:
Cost Price = Selling Price / (1 + Profit Percentage)

Given:
Selling Price = Rs. 360
Profit Percentage = 20%

Now, we can plug in the values and solve for the cost price:
Cost Price = Selling Price / (1 + Profit Percentage)
= 360 / (1 + 0.20)
= 360 / 1.20
= 300

Therefore, the cost price of the article is Rs. 300.
So, the answer is (B) 300.",B
5,"[INST]20 marbles were pulled out of a bag of only white marbles , painted black , and then put back in . Then , another 20 marbles were pulled out , of which 1 was black , after which they were all returned to the bag . If the percentage of black marbles pulled out the second time represents their percentage in the bag , how many marbles in total Q does the bag currently hold ?
Answer Choices:
A) 40
B) 200
C) 380
D) 400
E) 3200[/INST]  Let's break down the problem step by step:
1. The first time 20 marbles were pulled out of the bag, and 1 of them was black, so the percentage of black marbles in the bag is 1/20 = 0.05.
2. Then, another 20 marbles were pulled out, including 1 black marble. So, the total number of marbles in the bag is now 20 + 20 = 40 marbles.
3. After the second round of pulling marbles, the total number of black marbles is 1 + 1 = 2, which is 0.05% of the total number of marbles in the bag.
Now, we can use the information we have to find the total number of marbles in the bag:
Total number of marbles = 40 + 20 = 60 marbles
So, the answer is (D) 400.",D
6,"[INST]Find the total no . of distinct bike no . ' s that can beformed using 2 letters followed by 2 no . ' s . How many letters need to be distinct ?
Answer Choices:
A) 74453
B) 64543
C) 74325
D) 65000
E) 97656[/INST]  To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to count the number of possible combinations.
There are 26 letters in the alphabet, and each letter can be used twice, so there are 26 x 2 = 52 possible combinations of letters.
For each combination of letters, we can choose 2 numbers from 0 to 9, so there are 52 x 2 = 104 possible combinations of letters and numbers.
Therefore, the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers is 104.
So, the answer is (D) 65000.",D
7,"[INST]A train running at a speed of 100 miles / hour , takes 10 hours to reach its destination . After covering quarter of the distance , it starts raining and the train has to be slowed to speed of 75 miles / hour . What is the total journey duration ?
Answer Choices:
A) 10
B) 11.5
C) 12.5
D) 13.5
E) 15[/INST]  To solve this problem, we need to use the concept of uniform speed and the formula for time taken to cover a distance at a constant speed.
Let the distance be x miles.
Initially, the train was running at a speed of 100 miles/hour, so it covered 100x miles in 10 hours.
After covering quarter of the distance, the train's speed is reduced to 75 miles/hour, so it covers 75x miles in the same time.
So, the total distance covered by the train is:
x + 75x = 100x
Simplifying the equation, we get:
85x = 100x
x = 12.5
So, the total journey duration is:
10 hours + (12.5 / 75) x 3 = 15 hours
Therefore, the answer is (D) 13.5 hours.",C
8,"[INST]Of the 200 students in a school , at least 45 % attended the prom night and at least 35 % took part in the debating session . What is the maximum number of students who could have neither attended the prom night nor the debating session ?
Answer Choices:
A) 27
B) 81
C) 90
D) 99
E) 110[/INST]  To find the maximum number of students who could have neither attended the prom night nor the debating session, we need to find the intersection of the two sets of students who attended the prom night and those who took part in the debating session.
Let's use Venn diagrams to visualize the situation:
| | Prom Night | Debating Session | Neither |
| --- | --- | --- | --- |
| Attended Prom Night | 45% of 200 | 35% of 200 | 200 - (45% + 35%) |
From the diagram, we can see that at least 200 - (45 + 35) = 125 students did not attend either the prom night or the debating session. Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is 125.
So, the answer is (E) 110.",E
9,"[INST]A sales person gets a 10 % commission on each sale he makes . How many sales of $ 250 each must he make in order to reach a salary of at least $ 1000 ?
Answer Choices:
A) 15
B) 24
C) 25
D) 40
E) 52[/INST]  To find out how many sales the sales person needs to make to reach a salary of at least $1000, we can use the following formula:

Salary = Commission per sale x Number of sales
Salary = $1000
Commission per sale = $250
Number of sales =  Salary / Commission per sale
Number of sales = $1000 / $250
Number of sales = 4
Therefore, the sales person needs to make 4 sales of $250 each to reach a salary of at least $1000. The answer is (D) 40.",D
